,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings,age,sire,dam,dam_sire,stud_fee,total_starts,total_earnings,top_rpr,sire_comments
Footstepsinthesand,294/583,822,7541,"£10,461,776",228/552,516,4970,"£7,824,746",145/449,306,2571,"£2,637,030",21/73,46,523,"£563,926",2/7,2,42,"£22,589",20/64,42,455,"£531,988",2/15,2,26,"£9,349",57/137,110,1219,"£1,888,476",141/438,181,1625,"£2,689,318",,,,,139/382,308,2569,"£3,368,147",177/509,382,3735,"£5,389,858",50/206,77,771,"£931,746",21/95,41,358,"£407,980",12/32,14,108,"£364,044",27/137,31,245,"£494,419",54/267,65,670,"£909,137",44/233,54,608,"£699,244",122/452,170,1820,"£3,430,621",115/413,185,1578,"£2,702,314",14/47,14,63,"£73,537",19yo:,Giant's Causeway right,Glatisant right,Rainbow Quest right,"€12,500",3,"£226,451",118,"lightly raced, smart 6-7f 2yo, won 2000 Guineas on only start at 3; smart family"
Frankel,222/325,471,2328,"£16,649,069",184/313,347,1723,"£15,566,527",87/193,124,605,"£1,082,541",4/17,10,93,"£92,007",0/1,0,2,£350,4/16,10,89,"£91,123",0/2,0,2,£534,6/9,9,30,"£109,802",86/213,113,497,"£2,222,867",15/30,22,68,"£364,587",28/57,40,170,"£574,680",128/276,208,1036,"£6,606,577",89/204,127,602,"£3,752,415",41/126,49,290,"£3,561,020",24/61,47,230,"£2,154,376",10/60,12,77,"£377,855",31/153,37,257,"£2,778,022",40/149,52,243,"£2,957,493",88/244,113,586,"£4,477,313",100/217,129,553,"£5,010,747",4/7,4,11,"£34,950",13yo:,Galileo right,Kind right,Danehill right,"£200,000",14,"£2,998,302",143,Highest-ever rated racehorse by RPRs; unbeaten 10-time Group 1 winner; from fine family
Free Eagle,39/86,84,615,"£923,980",28/81,48,418,"£713,406",23/62,36,197,"£210,574",4/22,5,71,"£56,927",,,,,3/18,4,58,"£49,262",1/8,1,13,"£7,665",,,,,16/58,19,168,"£197,810",9/33,12,97,"£139,562",4/24,5,54,"£32,452",29/78,46,307,"£382,914",15/55,20,147,"£146,740",3/31,6,79,"£191,563",5/14,7,28,"£170,313",2/15,2,27,"£24,354",11/45,13,87,"£125,661",4/30,4,41,"£32,046",13/68,17,171,"£384,891",10/49,13,83,"£107,472",1/8,1,8,"£6,048",10yo:,High Chaparral right,Polished Gem right,Danehill right,"€8,000",8,"£592,523",124,"smart over 1m at 2, top-class over 10-12f winner at 3-4, inc Prince of Wales's Stakes; top family"
Galileo,920/1413,1832,11515,"£94,712,360",813/1368,1572,9599,"£92,511,191",207/678,260,1916,"£2,201,169",170/321,380,3294,"£4,937,513",33/82,64,549,"£585,167",156/306,288,2629,"£4,164,074",21/53,28,116,"£188,272",725/1251,1626,12516,"£33,284,860",308/872,414,2106,"£13,471,788",,,,,16/114,21,174,"£549,421",494/1162,733,4186,"£36,189,905",381/1031,514,3121,"£26,061,541",270/850,343,2326,"£21,664,274",135/458,221,1708,"£10,247,218",99/444,109,739,"£3,344,487",206/799,266,1844,"£12,614,007",148/557,173,1263,"£10,720,571",447/1176,634,4193,"£36,032,424",332/974,449,2753,"£30,204,806",15/70,16,87,"£411,512",Died as a 23yo:,Sadler's Wells right,Urban Sea right,Miswaki right,Private,7,"£1,621,110",132,"champion 3yo colt, inc Derby, Irish Derby & King George; from outstanding family; phenomenal sire"
Galileo Gold,16/47,22,175,"£394,499",10/43,16,134,"£363,176",6/28,6,41,"£31,323",,,,,,,,,,,,,,,,,,,,,16/47,22,175,"£394,499",16/47,22,175,"£394,499",8/29,11,89,"£286,900",9/37,11,86,"£107,599",,,,,,,,,,,,,0/2,0,2,"£7,274",1/14,2,18,"£20,321",3/14,3,18,"£28,854",3/27,4,41,"£108,703",5/22,6,44,"£70,076",0/1,0,1,—,8yo:,Paco Boy right,Galicuix right,Galileo right,"€5,000",12,"£960,886",123,Top-class miler; G2 Vintage Stakes at 2; won 2000 Guineas & St James's Palace Stakes at 3
Gleneagles,85/152,156,1056,"£2,246,328",68/143,112,713,"£1,890,474",32/107,44,343,"£355,855",2/14,5,39,"£50,038",,,,,2/13,5,36,"£49,886",0/1,0,3,£152,,,,,35/101,50,305,"£808,951",16/44,22,118,"£449,945",15/49,22,138,"£383,780",49/131,75,529,"£991,289",33/83,43,270,"£684,404",6/39,12,85,"£145,936",5/17,4,34,"£40,919",7/26,9,32,"£103,256",15/75,19,117,"£314,112",11/48,11,73,"£146,342",36/107,43,255,"£784,118",18/91,20,180,"£455,697",1/3,2,5,"£6,575",9yo:,Galileo right,You'resothrilling right,Storm Cat right,"€15,000",10,"£934,200",124,"Top-class 2yo, inc National Stakes; thrice G1 winner at 3, inc dual 2000 Guineas outstanding family"
Golden Horn,70/133,132,804,"£1,618,630",48/115,78,509,"£1,185,296",36/104,54,295,"£433,335",7/9,9,35,"£51,649",,,,,7/8,9,31,"£49,234",0/2,0,4,"£2,415",,,,,19/94,20,192,"£213,417",8/39,9,82,"£118,532",0/14,0,19,"£6,492",30/104,35,296,"£368,529",30/101,45,255,"£506,727",27/69,38,162,"£444,232",7/33,14,72,"£292,650",4/14,4,15,"£32,900",12/55,14,83,"£223,350",8/49,9,73,"£130,060",29/89,34,199,"£418,146",21/77,25,155,"£441,586",0/3,0,3,"£1,010",9yo:,Cape Cross right,Fleche D'Or right,Dubai Destination right,"£10,000",9,"£4,438,651",132,"1m 2yo winner; champion 3yo & horse of the year; won Derby, Eclipse, Irish Champion Stakes & Arc"
Gregorian,38/83,81,878,"£781,303",29/76,54,564,"£610,665",15/63,27,314,"£170,637",3/14,4,44,"£26,362",0/1,0,1,£879,2/10,3,37,"£23,577",1/4,1,6,"£1,906",,,,,20/62,26,318,"£343,677",8/34,9,154,"£163,171",17/55,29,417,"£407,154",18/67,38,356,"£264,547",4/22,10,66,"£82,243",2/15,2,29,"£17,225",3/4,2,10,"£10,134",4/21,4,31,"£33,341",5/43,7,109,"£121,732",9/44,10,101,"£115,025",14/59,19,172,"£173,957",12/54,16,155,"£171,413",0/7,0,7,"£2,078",12yo:,Clodovil right,Three Days In May right,Cadeaux Genereux right,"€5,000",25,"£434,913",118,"high-class 7-8.5f winner at 2-5, inc Group 2 Hungerford Stakes at 4; from family of Premio Loco"
Haafhd,135/252,397,3594,"£2,980,075",104/234,253,2324,"£2,341,615",71/204,144,1270,"£638,461",26/81,78,678,"£991,473",8/9,17,93,"£189,770",23/65,58,523,"£785,637",3/31,3,62,"£16,067",73/131,219,1738,"£3,521,804",55/174,75,623,"£548,836",,,,,32/132,51,540,"£523,141",98/236,213,1857,"£1,447,390",41/134,74,646,"£613,363",23/91,44,376,"£264,475",10/40,15,175,"£131,706",13/62,18,141,"£197,281",32/150,47,474,"£504,850",34/163,54,511,"£568,001",75/206,115,983,"£1,182,146",55/208,87,775,"£785,692",6/42,6,54,"£29,596",20yo:,Alhaarth right,Al Bahathri right,Blushing Groom right,"£2,000",9,"£492,288",127,High-class over 6-7f as 2yo; won Guineas & Champion Stakes; out of champion Al Bahathri
Harzand,12/27,14,160,"£155,222",11/24,13,125,"£144,266",1/16,1,35,"£10,956",,,,,,,,,,,,,,,,,,,,,2/16,2,48,"£32,421",2/13,2,35,"£28,667",0/3,0,19,"£4,843",5/20,5,53,"£61,825",4/18,4,51,"£44,437",4/13,4,29,"£37,260",1/7,1,8,"£6,857",1/6,1,6,"£12,989",0/17,0,32,"£18,774",5/13,5,19,"£19,067",3/16,3,33,"£44,183",2/14,2,23,"£19,610",,,,,8yo:,Sea The Stars right,Hazariya right,Xaar right,"€5,000",7,"£1,535,850",124,"high-class 3yo; won Derby and Irish Derby, from top Aga Khan family"
