,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings,age,sire,dam,dam_sire,stud_fee,total_starts,total_earnings,top_rpr,sire_comments
Ribchester,9/42,14,138,"£187,348",7/37,12,103,"£163,253",2/20,2,35,"£24,095",,,,,,,,,,,,,,,,,,,,,9/42,14,138,"£187,348",9/42,14,138,"£187,348",4/28,9,76,"£141,489",5/33,5,61,"£45,859",0/1,0,1,—,,,,,,,,,,,,,3/13,3,15,"£32,672",2/9,2,11,"£11,327",3/26,4,41,"£87,846",3/21,3,31,"£23,415",,,,,8yo:,Iffraaj right,Mujarah right,Marju right,"€12,500",16,"£2,641,449",126,"Won Mill Reef at 2; progressed into multiple Group 1 winning miler, inc course record Queen Anne"
Sea The Moon,47/102,92,758,"£1,416,522",31/93,59,505,"£1,207,140",21/63,33,253,"£209,381",10/30,21,105,"£309,480",1/1,5,6,"£119,325",9/25,13,84,"£181,140",3/9,3,15,"£9,015",,,,,18/74,24,204,"£295,004",5/25,7,63,"£66,379",4/18,10,77,"£62,959",24/88,38,346,"£591,752",14/60,19,168,"£272,914",9/49,13,106,"£141,037",6/24,12,61,"£347,860",9/39,9,54,"£131,570",11/59,14,123,"£396,299",10/44,14,81,"£258,612",15/74,24,186,"£386,749",12/61,13,119,"£219,499",0/2,0,3,"£3,244",10yo:,Sea The Stars right,Sanwa right,Monsun right,"£25,000",5,"£437,439",122,"German Derby winner, also 1m winner at 2, from outstanding family; excellent start with 2yos"
Sea The Stars,301/478,614,3496,"£20,061,796",226/448,435,2526,"£18,623,563",126/297,179,970,"£1,438,233",26/82,46,504,"£549,492",2/7,4,34,"£68,437",21/67,35,423,"£447,265",6/24,7,47,"£33,790",69/119,120,746,"£1,728,992",73/237,82,496,"£921,239",8/35,10,72,"£115,336",2/26,2,40,"£35,117",143/380,202,1205,"£4,459,462",141/364,212,1152,"£5,966,373",86/240,119,673,"£5,410,636",40/109,79,426,"£4,190,207",10/89,12,131,"£259,770",41/225,51,414,"£3,215,942",50/181,63,338,"£3,990,387",124/367,172,1071,"£5,581,430",105/310,159,795,"£5,484,332",2/13,2,13,"£20,092",15yo:,Cape Cross right,Urban Sea right,Miswaki right,"€150,000",9,"£4,417,163",138,"Group 2 1m 2yo, exceptional 6-time Group 1 winner at 3, inc Guineas/Derby/Arc; outstanding family"
Shirocco,60/164,148,1533,"£2,609,890",50/147,97,1028,"£2,259,693",26/125,51,505,"£350,197",152/450,331,2933,"£3,877,179",27/74,49,321,"£864,319",120/360,222,1991,"£2,673,616",55/304,60,621,"£339,244",32/67,66,684,"£2,180,388",13/85,13,210,"£86,779",,,,,1/23,1,53,"£11,503",22/124,28,422,"£285,300",28/112,41,428,"£615,145",23/104,32,288,"£605,883",18/60,46,342,"£1,092,059",41/225,51,393,"£468,923",71/338,101,848,"£1,484,165",53/254,71,625,"£1,176,709",98/394,144,1304,"£1,917,206",24/127,27,321,"£817,840",3/15,3,15,"£17,989",20yo:,Monsun right,So Sedulous right,The Minstrel right,Private,13,"£1,388,908",128,"outstanding 11-12f performer, inc Breeders' Cup Turf and Coronation Cup; dual-purpose sire"
Sholokhov,5/19,17,201,"£106,775",4/17,10,126,"£68,576",3/12,7,75,"£38,199",71/167,180,1310,"£2,819,449",25/45,53,249,"£1,364,721",57/131,99,869,"£1,288,047",23/108,28,192,"£166,681",13/21,29,158,"£297,251",0/6,0,16,"£4,292",,,,,0/1,0,1,—,1/13,2,67,"£21,984",4/10,6,61,"£42,385",2/9,4,33,"£19,875",2/9,5,39,"£22,531",19/85,23,164,"£319,350",29/109,43,341,"£641,388",26/85,33,203,"£354,918",30/126,53,468,"£1,026,576",7/29,10,73,"£78,880",,,,,Sire:,Sadler's Wells right,La Meilleure right,Lord Gayle right,Private,12,"£406,986",121,"won 1m Gran Criterium at 2; Irish Derby and Eclipse Stakes runner-up at 3; NH sire, inc Don Cossack"
Showcasing,252/490,556,5142,"£8,032,533",178/455,355,3240,"£6,555,901",130/389,201,1902,"£1,476,632",4/25,6,88,"£49,170",0/1,0,2,£700,4/23,4,80,"£42,263",1/3,2,6,"£6,207",16/40,21,252,"£266,781",147/401,203,1569,"£3,076,868",26/48,41,214,"£476,777",164/399,353,2874,"£5,666,224",107/340,185,1888,"£2,153,411",10/78,12,275,"£166,889",4/33,4,91,"£36,183",10/8,2,14,"£9,826",4/80,5,94,"£164,776",44/241,55,489,"£1,045,881",44/225,54,478,"£1,357,152",80/341,116,1039,"£1,913,062",88/339,110,1062,"£1,866,370",6/43,7,64,"£58,396",14yo:,Oasis Dream right,Arabesque right,Zafonic right,"£45,000",7,"£129,563",115,"high-class sprint 2yo, r-up in Duke Of York S. at 3, 1/2 to Camacho; excellent source of 2yos"
Sir Percy,206/372,514,4613,"£5,576,667",150/353,312,2947,"£4,229,780",111/307,202,1666,"£1,346,887",48/110,109,859,"£1,147,752",4/11,9,64,"£263,818",41/96,88,733,"£843,035",10/27,12,62,"£40,899",29/67,54,539,"£875,386",70/264,87,884,"£849,289",10/26,16,102,"£100,021",25/128,35,395,"£330,805",105/342,169,1710,"£1,448,315",90/264,148,1130,"£1,625,263",66/207,100,841,"£1,059,958",35/118,62,537,"£1,112,325",19/94,24,148,"£266,584",47/210,61,555,"£953,021",41/232,53,642,"£651,768",92/309,137,1260,"£1,780,616",96/292,131,1029,"£1,562,574",7/38,8,50,"£67,702",18yo:,Mark Of Esteem right,Percy's Lass I right,Blakeney right,"£7,000",10,"£1,149,291",121,"won Dewhurst and Derby, 2nd in 2,000 Guineas, by Mark Of Esteem; gets 2yos, progeny progress"
Sixties Icon,111/227,271,2906,"£2,937,511",102/209,224,2000,"£2,470,768",31/175,47,906,"£466,743",29/95,65,730,"£615,192",5/10,7,78,"£55,341",24/80,50,584,"£530,509",6/30,8,68,"£29,341",10/21,21,189,"£296,273",49/156,74,682,"£577,598",8/17,14,107,"£120,865",32/116,59,616,"£548,013",53/200,98,1226,"£995,238",36/121,60,528,"£569,017",16/83,21,260,"£408,817",15/42,33,276,"£416,427",18/77,20,161,"£182,298",38/145,47,432,"£491,616",41/164,50,485,"£564,247",58/199,94,844,"£1,139,459",48/171,72,669,"£613,656",4/42,4,58,"£32,684",18yo:,Galileo right,Love Divine right,Diesis right,"£1,000",17,"£526,238",123,"high-class middle-distance 3-5yo, won St. Leger; good start with first crops, gets 2yo winners"
Starspangledbanner,96/180,204,1614,"£3,295,175",83/170,155,1174,"£2,943,627",29/117,49,440,"£351,548",3/9,4,47,"£30,385",,,,,3/9,4,44,"£29,431",0/2,0,3,£954,6/10,7,86,"£67,124",58/151,77,571,"£1,555,567",10/17,14,67,"£267,996",66/134,127,906,"£2,076,163",38/127,68,600,"£1,089,308",6/23,8,81,"£113,007",1/10,1,18,"£10,605",4/3,0,9,"£6,093",4/31,4,38,"£69,606",18/80,23,185,"£338,375",18/72,21,137,"£289,285",39/125,50,398,"£1,093,192",30/113,47,332,"£944,616",0/9,0,10,"£6,953",15yo:,Choisir right,Gold Anthem right,Made Of Gold right,"€35,000",22,"£1,197,276",125,"High-class 6f-1m Group 1 winner in Aus; won Golden Jubilee & July Cup at 3, inc 2nd in Nunthorpe"
Swiss Spirit,80/205,198,2181,"£1,627,130",52/186,93,1217,"£945,469",54/177,105,964,"£681,661",0/7,0,22,"£2,121",,,,,0/5,0,16,"£1,477",0/3,0,6,£644,,,,,37/157,49,601,"£390,193",13/38,18,153,"£129,766",50/182,121,1359,"£1,081,908",36/138,76,752,"£527,833",1/32,1,58,"£15,058",0/8,0,12,"£2,332",,,,,2/24,2,33,"£19,820",7/85,7,147,"£66,944",9/93,9,166,"£112,967",24/143,29,393,"£304,622",26/134,40,429,"£398,650",3/16,4,19,"£30,485",12yo:,Invincible Spirit right,Swiss Lake right,Indian Ridge right,"£2,500",16,"£144,883",116,"high-class sprinter, from excellent speed family; promising start with first 2yo and 3yos"
Tamayuz,129/273,312,2900,"£4,726,066",97/253,193,1835,"£3,769,570",69/215,119,1065,"£956,497",16/40,34,266,"£315,985",1/2,7,27,"£68,925",15/38,25,231,"£239,448",2/4,2,8,"£7,612",29/65,63,579,"£540,641",57/197,71,595,"£790,407",8/26,11,78,"£188,727",41/151,73,632,"£973,559",86/243,175,1576,"£2,672,321",24/101,36,383,"£495,732",10/56,15,197,"£347,853",7/24,13,112,"£236,601",6/54,6,83,"£76,596",24/116,28,271,"£434,864",35/107,41,252,"£840,619",50/199,73,723,"£1,435,922",45/176,62,576,"£1,103,496",1/15,1,26,"£10,964",16yo:,Nayef right,Al Ishq right,Nureyev right,"€7,000",7,"£482,505",125,"useful mile winner at 2; top-class miler at 3, inc two Group 1's; family of Urban Sea"
Teofilo,343/616,772,5942,"£16,544,534",283/573,550,4167,"£14,501,442",129/431,222,1775,"£2,043,092",51/120,112,990,"£1,087,877",6/22,8,98,"£89,723",43/110,89,805,"£913,308",12/33,15,87,"£84,846",114/262,236,2413,"£3,391,621",102/332,134,894,"£2,287,932",15/51,18,123,"£378,692",25/123,29,275,"£396,178",202/514,308,2429,"£5,364,913",147/453,221,1620,"£5,132,055",103/331,138,1018,"£3,103,463",40/153,76,600,"£2,547,925",21/134,22,225,"£488,456",66/337,78,718,"£1,718,879",64/245,74,529,"£1,425,668",158/486,237,1758,"£5,850,138",144/422,197,1289,"£5,983,938",3/31,3,38,"£36,734",17yo:,Galileo right,Speirbhean right,Danehill right,"€30,000",5,"£349,516",125,"Unbeaten champion 2yo, inc National & Dewhurst Stakes; retired due to injury; high-class sire"
The Gurkha,33/72,52,435,"£586,200",24/65,34,305,"£465,438",16/49,18,130,"£120,762",1/3,1,5,"£13,161",,,,,1/3,1,5,"£13,161",,,,,,,,,19/62,22,197,"£240,877",11/39,11,130,"£103,074",5/34,5,69,"£39,001",27/64,38,297,"£406,873",5/26,5,48,"£58,678",3/11,4,20,"£81,349",0/1,0,1,£300,1/12,1,14,"£24,195",3/32,3,45,"£45,797",3/16,3,25,"£56,774",14/48,17,116,"£242,786",7/37,8,62,"£100,231",0/1,0,1,£303,8yo:,Galileo,Chintz,Danehill Dancer,"€5,000",6,"£996,217",124,"unraced at 2; won French 2,000 Guineas & Sussex Stakes at 3; family of Arc winner Solemia"
The Last Lion,11/42,13,256,"£156,982",5/35,5,167,"£97,655",6/33,8,89,"£59,327",,,,,,,,,,,,,,,,,,,,,7/37,7,131,"£84,144",5/27,5,84,"£45,295",3/28,3,105,"£74,788",8/34,10,139,"£71,397",0/5,0,6,"£5,180",0/3,0,5,"£4,711",0/1,0,1,£906,0/6,0,8,"£1,075",0/14,0,23,"£6,676",1/11,1,18,"£11,195",0/26,0,57,"£28,829",2/16,2,34,"£18,962",0/1,0,1,"£1,344",7yo:,Choisir right,Mala Mala right,Brief Truce right,"£4,000",9,"£201,844",118,"tough & top-class 2yo, won Brocklesby and Middle Park, unraced at 3; speedy family"
Tough As Nails,13/26,34,407,"£362,753",13/23,30,331,"£313,208",2/17,4,76,"£49,545",0/5,0,20,"£4,826",,,,,0/4,0,18,"£4,826",0/2,0,2,—,,,,,3/19,6,89,"£84,164",,,,,7/19,13,147,"£147,878",9/23,19,214,"£187,430",1/10,1,34,"£17,670",1/5,1,11,"£9,775",0/1,0,1,—,3/12,3,36,"£33,065",2/18,2,53,"£42,872",1/2,1,6,"£5,931",6/18,9,108,"£111,422",4/13,6,42,"£72,050",,,,,12yo:,Dark Angel right,Soreze right,Gallic League right,"€1,500",10,"£55,845",110,"very precocious, tough and speedy 2yo, inc 3rd in Phoenix Stakes; from fast family"
Twilight Son,49/116,79,702,"£798,776",30/94,43,419,"£584,166",28/91,36,283,"£214,610",1/2,1,2,"£4,435",,,,,1/2,1,2,"£4,435",,,,,,,,,25/96,28,328,"£350,375",17/68,17,234,"£154,879",31/84,53,369,"£574,115",18/78,24,292,"£203,994",2/13,2,26,"£14,135",0/7,0,11,"£4,597",1/2,0,4,"£1,935",1/13,1,15,"£32,919",4/45,4,60,"£53,355",5/39,5,57,"£125,176",17/67,17,144,"£183,064",11/64,14,124,"£175,059",2/3,2,4,"£8,001",9yo:,Kyllachy right,Twilight Mistress right,Bin Ajwaad right,"£7,000",10,"£725,150",120,"6f winner at 2, won Haydock Sprint Cup/Diamond Jubileee at 3-4; first ylgs 2019"
Ulysses,13/33,15,90,"£125,088",10/31,10,71,"£99,719",3/12,5,19,"£25,369",,,,,,,,,,,,,,,,,,,,,13/33,15,90,"£125,088",13/33,15,90,"£125,088",0/5,0,7,"£4,310",13/33,15,81,"£115,408",0/2,0,2,"£5,370",,,,,,,,,0/2,0,2,—,1/6,1,9,"£13,983",2/6,2,7,"£9,814",4/19,4,32,"£53,107",2/14,2,19,"£17,491",,,,,8yo:,Galileo right,Light Shift right,Kingmambo right,"£10,000",13,"£1,916,923",127,"Extremely well-bred, Gr 3-wnr at 3, won Coral-Eclipse and Juddmonte Intl. at 4; first foals 2019"
Vadamos,23/57,33,347,"£319,735",14/51,19,220,"£214,101",11/47,14,127,"£105,634",1/8,1,13,"£7,848",,,,,1/8,1,13,"£7,848",,,,,,,,,12/49,14,152,"£115,931",8/34,10,111,"£75,974",3/26,6,79,"£58,501",17/51,22,209,"£218,300",2/18,2,43,"£27,463",1/6,1,11,"£6,908",1/3,2,5,"£8,563",0/12,0,15,"£12,145",3/31,4,43,"£37,871",3/15,3,19,"£34,987",3/37,3,78,"£50,521",7/25,8,51,"£72,878",,,,,10yo:,Monsun right,Celebre Vadala right,Peintre Celebre right,"€6,000",18,"£607,983",122,"progressive, won over 12f but developed into top-class miler; family of high-class Val Royal"
Youmzain,11/24,17,191,"£251,088",7/20,11,144,"£214,072",5/15,6,47,"£37,016",10/23,19,201,"£240,354",1/6,3,23,"£61,536",9/19,13,154,"£164,585",2/10,3,24,"£14,233",2/4,2,20,"£41,001",3/8,3,22,"£43,687",0/1,0,2,£289,0/2,0,4,—,4/18,4,58,"£59,451",4/13,7,58,"£136,797",2/12,2,42,"£19,498",4/8,4,29,"£35,341",4/16,4,32,"£44,514",6/18,10,73,"£156,945",3/22,3,53,"£90,185",7/28,9,127,"£92,528",3/12,3,35,"£57,141",0/1,0,1,"£1,040",18yo:,Sinndar right,Sadima right,Sadler's Wells right,Private,32,"£3,394,269",128,"top middle-distance horse at 3-7, three-time Arc runner-up, half-brother to Creachadoir"
Zoffany,257/500,520,5175,"£9,229,625",207/477,380,3625,"£8,027,346",93/348,140,1550,"£1,202,278",28/75,51,507,"£546,129",1/9,1,38,"£29,623",26/73,46,445,"£501,385",4/11,4,24,"£15,120",7/19,10,97,"£137,869",123/386,152,1362,"£2,734,189",27/64,38,246,"£753,765",70/248,98,1042,"£1,832,814",167/448,294,2778,"£4,854,046",54/219,71,753,"£1,222,492",29/118,34,370,"£734,416",13/53,23,232,"£585,856",22/132,23,232,"£505,392",66/283,81,644,"£1,340,199",44/199,57,486,"£1,153,355",96/380,123,1312,"£3,143,969",80/323,108,924,"£2,064,861",2/22,2,24,"£13,529",Died as a 13yo:,Dansili right,Tyranny right,Machiavellian right,"€20,000",13,"£337,075",120,"top-class 6-7f 2yo, inc Group 1 Phoenix Stakes, high-class over 1m at 3; good source of 2yo's"
