,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings
Acclamation,572/995,1501,14589,"£19,719,948",460/954,1014,9769,"£16,313,951",263/752,487,4820,"£3,405,997",13/71,38,494,"£376,847",3/7,8,62,"£74,199",13/68,29,423,"£297,176",1/7,1,9,"£5,471",181/383,424,3927,"£6,077,822",308/800,408,3251,"£6,311,008",,,,,388/834,875,7862,"£12,184,575",248/755,559,5900,"£6,680,205",26/173,40,543,"£607,237",13/70,17,190,"£172,058",17/28,10,94,"£75,873",26/173,29,321,"£391,353",98/519,123,1214,"£1,513,813",106/507,142,1297,"£1,905,444",215/814,305,3290,"£6,286,052",262/773,396,3383,"£6,167,445",16/102,20,150,"£166,278"
Aclaim,20/52,21,215,"£246,922",11/48,12,162,"£181,047",9/33,9,53,"£65,875",,,,,,,,,,,,,,,,,,,,,20/52,21,215,"£246,922",20/52,21,215,"£246,922",14/44,15,150,"£122,826",6/31,6,65,"£124,097",,,,,,,,,,,,,0/4,0,4,"£2,085",2/16,2,21,"£18,104",0/19,0,22,"£60,899",3/30,4,46,"£31,074",6/33,6,61,"£68,901",,,,
Adaay,34/101,53,688,"£655,953",27/92,36,443,"£505,527",14/85,17,245,"£150,425",0/1,0,2,"£2,418",,,,,0/1,0,2,"£2,418",,,,,,,,,21/89,28,378,"£388,951",14/51,18,217,"£266,358",24/85,34,387,"£441,606",11/67,13,264,"£161,479",3/12,3,26,"£21,837",1/3,1,4,"£4,891",1/2,2,7,"£26,140",2/18,3,21,"£27,715",8/42,8,70,"£56,382",6/44,6,70,"£68,516",10/65,13,137,"£276,112",5/70,5,133,"£100,292",1/5,1,6,"£5,425"
Aeroplane,0/1,0,1,—,,,,,0/1,0,1,—,1/6,1,38,"£10,845",0/1,0,6,"£3,363",1/4,1,26,"£6,386",0/6,0,6,"£1,097",,,,,,,,,,,,,,,,,0/1,0,1,—,,,,,,,,,,,,,0/2,0,5,£700,1/5,1,14,"£7,532",0/4,0,9,"£1,867",0/4,0,10,"£1,097",,,,,,,,
Aiken,,,,,,,,,,,,,0/2,0,7,"£2,798",,,,,0/1,0,4,"£1,830",0/2,0,3,£967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/2,0,2,"£1,478",,,,,0/2,0,3,£500,,,,,,,,
Air Chief Marshal,3/8,7,65,"£66,269",3/7,5,47,"£55,455",1/5,2,18,"£10,814",8/10,26,114,"£206,523",1/2,4,22,"£25,657",8/10,21,86,"£178,681",1/3,1,6,"£2,186",0/3,0,12,"£2,646",1/3,1,13,"£14,003",0/1,0,1,—,1/3,1,10,"£14,003",0/6,0,22,"£4,857",2/4,4,16,"£34,445",1/5,2,13,"£11,665",0/3,0,4,"£1,299",2/5,4,12,"£41,876",5/9,7,35,"£79,789",3/12,5,33,"£34,543",7/13,10,58,"£75,983",3/8,3,16,"£20,152",,,,
Al Kazeem,18/47,38,373,"£479,684",15/44,32,236,"£422,874",4/35,6,137,"£56,810",2/7,3,45,"£22,947",0/1,0,3,£357,2/6,3,38,"£21,303",0/2,0,4,"£1,286",,,,,5/28,7,80,"£111,513",2/7,3,19,"£49,691",4/20,11,80,"£164,823",8/40,14,167,"£140,027",7/24,11,86,"£139,035",2/16,2,37,"£35,099",0/3,0,3,£700,0/10,0,11,"£9,420",2/28,2,38,"£43,718",5/21,5,31,"£84,205",11/34,15,97,"£155,861",7/30,10,77,"£125,564",2/6,2,9,"£9,634"
Albaasil,2/12,2,82,"£21,397",1/9,1,22,"£5,379",1/10,1,60,"£16,018",0/1,0,1,—,,,,,,,,,0/1,0,1,—,,,,,0/4,0,20,"£3,835",,,,,1/8,2,55,"£19,797",0/10,0,23,"£1,200",,,,,0/1,0,4,£400,,,,,,,,,0/1,0,1,"£1,191",1/3,1,3,"£2,322",0/6,0,11,£985,0/7,0,8,£881,,,,
Alhebayeb,33/115,78,1158,"£1,068,683",27/108,51,830,"£858,186",11/72,27,328,"£210,497",6/20,12,94,"£95,273",,,,,5/15,11,79,"£88,403",1/6,1,15,"£6,870",,,,,16/87,19,379,"£302,844",9/49,9,227,"£120,858",16/79,30,418,"£321,873",21/98,37,601,"£599,096",4/34,4,91,"£78,283",1/18,1,29,"£11,108",1/6,6,19,"£58,323",6/31,8,55,"£123,221",6/53,7,120,"£131,004",5/36,6,67,"£70,447",16/88,22,300,"£297,461",9/69,9,208,"£170,610",0/6,0,6,"£1,456"
Alkaadhem,1/4,7,85,"£44,527",1/3,7,66,"£42,741",0/4,0,19,"£1,786",15/49,44,448,"£518,523",6/18,8,54,"£78,185",14/44,31,325,"£413,243",5/31,5,69,"£27,095",,,,,0/1,0,3,—,1/1,3,12,"£16,401",1/2,3,22,"£15,409",1/4,4,57,"£29,118",0/3,0,5,—,0/1,0,1,—,,,,,2/19,2,46,"£25,361",7/33,12,82,"£190,126",5/14,5,48,"£108,574",13/46,24,202,"£207,317",2/14,4,34,"£24,251",,,,
Anjaal,31/89,53,650,"£617,730",23/79,33,400,"£453,008",13/62,20,250,"£164,722",1/6,1,12,"£4,329",,,,,1/6,1,12,"£4,329",,,,,,,,,16/70,24,289,"£352,153",10/45,17,196,"£270,117",19/68,32,334,"£407,866",15/66,21,290,"£209,564",0/12,0,22,£300,0/3,0,3,—,1/1,0,1,—,3/14,3,18,"£30,264",2/32,3,53,"£35,413",3/26,3,38,"£137,627",10/61,11,151,"£133,377",9/45,11,94,"£114,108",0/5,0,6,"£2,485"
Arcadio,2/14,3,48,"£63,088",1/8,2,22,"£47,772",1/6,1,26,"£15,316",95/323,251,2601,"£3,103,486",40/99,88,627,"£1,484,796",72/269,132,1556,"£1,438,175",27/216,31,418,"£180,514",1/3,2,5,"£3,812",0/1,0,3,—,0/1,0,3,—,0/1,0,5,£144,0/4,0,9,£399,1/5,1,11,"£9,422",0/7,0,10,"£2,139",1/7,2,13,"£50,984",19/133,23,245,"£286,956",37/202,54,539,"£765,430",26/112,40,329,"£427,125",60/250,111,1018,"£1,499,135",5/43,6,57,"£49,654",,,,
Ardad,19/54,28,210,"£480,848",19/50,27,173,"£436,957",1/26,1,37,"£43,891",,,,,,,,,,,,,,,,,,,,,19/54,28,209,"£478,734",19/54,28,210,"£480,848",19/50,27,179,"£449,583",1/15,1,30,"£31,265",0/1,0,1,—,,,,,,,,,1/2,1,2,"£3,726",7/28,8,34,"£73,499",2/19,2,26,"£27,102",3/26,3,40,"£25,698",8/37,11,61,"£280,745",0/4,0,5,"£1,809"
Asian Heights,0/1,0,13,£831,0/1,0,6,£241,0/1,0,7,£591,4/15,8,94,"£55,797",0/5,0,13,"£4,501",4/13,6,72,"£47,392",2/6,2,9,"£3,904",,,,,,,,,,,,,,,,,0/1,0,1,—,0/1,0,1,—,0/1,0,6,£120,0/1,0,5,£711,0/5,0,9,£563,3/9,3,35,"£26,028",2/8,3,18,"£19,807",2/14,2,32,"£9,867",0/2,0,2,—,0/1,0,1,—
Ask,6/12,25,217,"£248,702",6/10,22,165,"£222,783",1/8,3,52,"£25,919",61/187,149,1453,"£1,394,911",27/55,46,340,"£493,759",49/150,87,899,"£804,086",14/107,16,214,"£97,065",,,,,0/3,0,9,£241,0/1,0,4,—,0/2,0,4,—,2/8,4,51,"£23,869",4/9,11,80,"£100,102",2/9,6,48,"£41,803",2/7,4,34,"£82,928",18/92,21,229,"£242,118",25/118,44,355,"£370,864",15/63,18,164,"£181,057",38/131,65,531,"£645,711",5/28,5,61,"£62,939",,,,
Assertive,37/77,110,1419,"£928,731",27/76,74,883,"£704,165",21/65,36,536,"£224,566",0/6,0,11,£350,,,,,0/5,0,10,£350,0/1,0,1,—,3/11,5,68,"£35,886",15/56,20,237,"£125,903",5/14,6,61,"£24,733",30/68,83,962,"£700,488",12/56,23,395,"£181,144",1/13,1,35,"£11,881",1/7,2,15,"£25,851",2/4,1,12,"£9,367",5/19,6,33,"£30,353",11/41,18,138,"£126,186",6/44,10,145,"£91,675",11/65,20,292,"£314,406",14/62,19,256,"£131,375",1/15,1,29,"£10,519"
Australia,112/230,233,1578,"£4,951,260",85/214,162,1114,"£4,299,482",46/148,71,464,"£651,779",5/29,6,127,"£82,785",0/2,0,4,£446,5/28,6,117,"£80,913",0/4,0,6,"£1,426",,,,,40/161,49,397,"£941,651",15/56,15,144,"£247,873",4/23,4,47,"£80,941",64/198,88,654,"£1,572,168",35/155,65,446,"£1,607,301",32/115,43,263,"£774,080",18/56,33,168,"£916,770",6/43,6,55,"£85,663",25/116,30,197,"£718,332",12/74,14,113,"£269,856",44/158,51,421,"£1,669,863",32/131,43,294,"£1,313,006",1/4,1,5,"£5,564"
Avonbridge,95/248,302,3483,"£2,157,725",73/230,162,1979,"£1,489,035",57/201,140,1504,"£668,690",9/40,26,327,"£143,417",2/5,4,30,"£28,368",8/35,21,278,"£113,278",1/9,1,19,"£1,771",26/52,60,583,"£742,151",46/187,62,868,"£630,703",,,,,59/202,175,1752,"£1,463,124",47/185,107,1400,"£557,608",11/62,13,215,"£80,034",2/33,3,79,"£17,615",5/10,4,37,"£39,342",4/38,4,64,"£24,482",16/118,21,324,"£151,193",22/138,35,367,"£248,648",42/187,61,730,"£664,501",42/191,59,728,"£515,113",6/38,8,61,"£32,454"
Awtaad,33/78,58,466,"£715,941",22/68,41,313,"£604,184",14/56,17,153,"£111,756",1/5,1,11,"£8,984",,,,,0/4,0,9,"£6,639",1/1,1,2,"£2,345",,,,,16/67,17,178,"£198,867",13/52,13,129,"£131,308",8/28,10,118,"£96,603",24/71,39,284,"£493,028",3/17,6,40,"£91,386",1/11,1,17,"£15,645",2/3,2,7,"£19,278",1/11,1,11,"£44,175",4/31,5,39,"£60,566",3/14,4,25,"£56,157",14/57,15,124,"£219,990",12/50,14,94,"£161,782",1/2,1,2,"£10,717"
Axxos,,,,,,,,,,,,,3/5,15,79,"£204,685",3/3,4,27,"£98,557",3/5,9,46,"£99,190",1/2,2,6,"£6,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/3,2,5,"£12,832",3/5,6,29,"£81,089",1/5,1,17,"£24,726",3/5,5,27,"£82,789",,,,,,,,
Barely A Moment,0/2,0,2,—,0/2,0,2,—,,,,,1/5,1,18,"£8,140",,,,,1/3,1,11,"£7,378",0/5,0,7,£763,,,,,,,,,,,,,,,,,0/2,0,2,—,,,,,,,,,,,,,0/2,0,2,—,0/3,0,3,—,,,,,0/4,0,9,"£3,700",,,,,,,,
Bated Breath,178/349,403,3455,"£5,229,373",126/320,252,2134,"£4,061,146",91/265,151,1321,"£1,168,227",2/19,2,58,"£21,382",,,,,1/17,1,51,"£14,123",1/2,1,7,"£7,259",1/5,3,23,"£30,743",78/239,105,808,"£1,522,763",14/44,18,166,"£195,192",102/250,195,1484,"£2,552,502",99/279,180,1626,"£2,394,299",13/86,18,247,"£193,254",5/32,10,84,"£81,276",0/9,0,14,"£8,042",6/61,6,76,"£105,558",25/155,30,310,"£467,767",29/149,32,272,"£474,643",68/239,98,694,"£1,905,788",54/233,80,681,"£1,104,252",3/17,3,22,"£22,694"
Belardo,28/65,54,421,"£656,600",23/60,42,296,"£553,221",9/41,12,125,"£103,378",0/1,0,2,"£2,500",,,,,0/1,0,2,"£2,500",,,,,,,,,15/56,23,185,"£336,776",10/36,16,120,"£269,678",11/36,14,118,"£168,859",19/56,30,239,"£393,542",5/16,9,51,"£77,241",1/7,1,12,"£15,938",0/1,0,1,"£1,021",1/13,1,17,"£11,901",4/30,4,53,"£120,916",5/22,6,37,"£68,403",12/40,18,89,"£211,509",6/33,9,66,"£70,532",0/1,0,2,£634
Blue Bresil,0/1,0,1,£400,,,,,0/1,0,1,£400,27/61,60,435,"£990,305",11/17,27,120,"£455,267",18/39,26,231,"£481,405",7/43,7,84,"£53,633",,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,1,£400,,,,,8/33,10,66,"£193,635",15/45,23,145,"£415,509",6/30,8,79,"£134,174",11/39,15,115,"£213,789",3/9,3,9,"£18,578",,,,
Bobby's Kitten,22/60,36,396,"£508,234",13/53,22,234,"£392,221",11/48,14,162,"£116,014",0/2,0,5,"£1,291",,,,,0/2,0,5,"£1,291",,,,,,,,,15/52,22,196,"£369,867",8/29,13,123,"£157,700",8/31,13,132,"£297,733",12/50,20,216,"£178,966",2/16,3,35,"£24,419",0/5,0,8,"£4,576",0/2,0,5,"£2,540",1/4,1,5,"£40,350",1/18,1,29,"£76,988",4/21,4,31,"£24,091",5/40,6,90,"£93,365",5/32,6,67,"£122,225",0/1,0,1,—
Brian Boru,0/9,0,44,"£2,871",0/9,0,27,"£2,571",0/5,0,17,£300,116/280,405,3759,"£4,390,975",63/123,165,1189,"£2,547,550",92/241,210,2162,"£1,703,662",27/185,30,408,"£139,763",3/18,5,65,"£24,726",,,,,,,,,0/1,0,2,—,0/4,0,9,£241,0/3,0,6,—,0/5,0,9,£866,0/6,0,18,"£1,765",43/166,71,528,"£722,382",50/201,83,814,"£1,068,408",38/122,59,437,"£556,044",73/224,147,1285,"£1,686,954",11/81,11,153,"£86,390",0/2,0,2,£844
Bullet Train,0/3,0,11,£866,0/3,0,8,£866,0/1,0,3,—,,,,,,,,,,,,,,,,,,,,,0/1,0,3,£866,0/1,0,3,£866,,,,,0/3,0,8,£577,0/2,0,3,£289,,,,,,,,,0/1,0,1,—,0/1,0,1,—,0/1,0,1,—,,,,,0/2,0,3,£866,,,,
Bungle Inthejungle,50/122,102,1276,"£1,469,332",41/117,74,856,"£1,231,296",18/89,28,420,"£238,036",0/7,0,23,£734,,,,,0/6,0,22,£734,0/1,0,1,—,,,,,34/103,48,482,"£730,684",16/42,20,197,"£236,473",35/113,74,808,"£1,250,400",19/73,27,415,"£200,967",0/15,0,43,"£10,965",1/1,1,9,"£7,000",2/1,0,1,—,0/16,0,23,"£11,311",9/55,9,97,"£102,601",6/51,9,90,"£105,083",21/97,26,288,"£468,235",21/88,25,265,"£488,256",2/16,2,27,"£16,439"
Buratino,12/47,19,329,"£285,692",9/45,13,236,"£244,316",4/35,6,93,"£41,376",2/4,2,11,"£16,123",,,,,2/4,2,11,"£16,123",,,,,,,,,9/42,11,202,"£182,178",5/25,7,114,"£126,937",7/33,8,127,"£92,383",5/40,11,186,"£186,584",0/7,0,12,"£6,425",0/2,0,3,£300,0/1,0,1,—,0/8,0,8,"£1,478",3/17,4,33,"£100,019",3/10,3,16,"£20,073",3/38,3,99,"£78,390",0/24,0,44,"£18,939",0/2,0,2,£300
Burwaaz,3/7,9,98,"£96,454",3/7,6,68,"£76,907",1/6,3,30,"£19,547",0/2,0,2,—,,,,,0/1,0,1,—,0/1,0,1,—,,,,,2/4,2,16,"£24,430",2/3,2,15,"£24,430",2/6,8,64,"£83,648",1/7,1,32,"£12,505",0/1,0,1,—,0/1,0,1,£300,,,,,,,,,0/5,0,9,£300,1/3,1,4,"£4,029",1/6,1,24,"£44,048",3/7,4,28,"£31,670",,,,
Cable Bay,58/131,119,1174,"£2,108,469",45/120,76,709,"£1,769,165",28/107,43,465,"£339,304",2/5,4,16,"£20,836",,,,,2/5,3,14,"£17,568",1/1,1,2,"£3,268",,,,,30/107,42,420,"£739,671",20/55,30,231,"£599,909",38/100,69,586,"£1,425,633",27/98,47,537,"£632,784",1/22,1,41,"£37,409",2/6,2,9,"£12,343",2/1,0,1,£300,2/24,3,34,"£196,745",12/60,14,110,"£251,647",8/60,8,95,"£266,585",19/87,22,241,"£418,704",23/89,28,207,"£600,498",0/6,0,6,"£1,866"
Califet,0/4,0,10,£749,0/2,0,4,£144,0/3,0,6,£605,48/130,135,1008,"£1,890,336",17/37,50,366,"£1,004,951",35/101,68,499,"£798,898",14/82,17,143,"£86,488",6/10,15,70,"£94,942",,,,,,,,,,,,,0/1,0,6,£749,0/2,0,2,—,0/1,0,1,—,0/1,0,1,—,11/60,18,122,"£225,009",16/90,28,244,"£481,190",14/48,22,149,"£333,299",23/84,43,311,"£517,275",5/9,7,23,"£30,645",,,,
Camacho,192/438,491,5860,"£4,897,856",140/420,319,3810,"£3,680,559",91/337,172,2050,"£1,217,297",9/43,25,259,"£327,030",1/6,1,16,"£10,041",9/40,23,225,"£311,174",1/8,1,18,"£5,815",23/52,58,557,"£658,284",104/364,143,1738,"£1,614,331",,,,,124/366,306,3359,"£3,026,955",83/314,157,2065,"£1,561,211",16/86,22,305,"£175,883",4/37,5,98,"£114,655",6/13,1,33,"£19,152",13/86,16,162,"£192,870",36/225,52,515,"£586,286",26/206,33,498,"£369,683",73/339,111,1295,"£1,461,243",71/320,112,1233,"£1,219,097",2/29,2,41,"£23,441"
Camelot,162/292,287,2349,"£6,284,822",130/276,223,1771,"£5,752,857",52/187,64,578,"£531,965",26/68,45,379,"£567,586",0/3,0,5,"£1,098",24/63,42,348,"£538,357",2/11,3,26,"£28,131",1/4,1,10,"£8,667",42/190,47,438,"£756,280",9/51,10,119,"£115,461",3/34,4,93,"£58,949",72/247,100,870,"£1,806,072",66/211,88,692,"£1,780,872",51/163,61,447,"£1,927,358",20/87,34,247,"£711,570",18/95,19,137,"£292,484",39/159,44,334,"£931,627",24/117,31,222,"£553,035",63/231,76,696,"£1,975,766",38/178,52,434,"£2,129,908",2/11,2,12,"£11,572"
Cameron Highland,0/1,0,1,—,,,,,0/1,0,1,—,0/3,0,10,£334,,,,,0/1,0,1,—,0/3,0,9,£334,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,1,—,,,,,0/1,0,1,£334,0/2,0,2,—,0/2,0,3,—,0/2,0,2,—,,,,,,,,
Cannock Chase,1/15,2,82,"£19,716",1/13,2,41,"£13,639",0/14,0,41,"£6,078",1/2,1,5,"£9,429",,,,,1/1,1,4,"£9,209",0/1,0,1,£220,,,,,1/9,1,26,"£6,798",1/8,1,22,"£6,498",1/6,2,14,"£7,701",0/15,0,54,"£7,925",0/5,0,7,"£2,290",0/4,0,5,"£1,200",0/2,0,2,£600,0/1,0,1,"£1,251",1/6,1,7,"£3,840",1/5,1,6,"£5,532",1/7,1,15,"£9,482",0/10,0,17,"£2,962",,,,
Cappella Sansevero,8/31,12,228,"£164,127",6/29,9,164,"£136,376",3/18,3,64,"£27,752",0/1,0,3,£214,,,,,0/1,0,3,£214,,,,,,,,,5/21,7,68,"£100,892",5/19,7,63,"£96,656",4/19,7,89,"£108,721",4/27,5,118,"£49,933",0/6,0,12,£858,0/4,0,8,"£4,616",0/1,0,1,—,0/9,0,12,"£2,765",2/15,3,24,"£27,371",0/6,0,7,"£2,427",1/19,1,59,"£37,401",2/13,4,28,"£67,570",0/1,0,1,£634
Caravaggio,16/60,19,217,"£560,081",16/59,19,190,"£546,066",0/18,0,27,"£14,015",,,,,,,,,,,,,,,,,,,,,16/60,19,217,"£560,081",16/60,19,217,"£560,081",8/38,9,105,"£309,584",8/46,10,110,"£249,154",0/1,0,2,"£1,344",,,,,,,,,0/6,0,6,"£6,994",4/19,4,19,"£114,493",1/7,1,9,"£15,559",8/41,8,81,"£202,125",3/25,3,40,"£198,338",0/1,0,1,£300
Carlo Bank,,,,,,,,,,,,,6/16,13,127,"£84,202",3/6,7,68,"£56,019",3/13,5,45,"£23,969",1/8,1,14,"£4,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/7,3,16,"£16,662",3/10,3,33,"£18,025",0/4,0,11,"£2,161",2/11,5,47,"£40,411",1/4,1,6,"£6,230",,,,
Carlotamix,1/3,5,60,"£34,666",1/2,2,28,"£18,564",1/3,3,32,"£16,103",14/48,25,319,"£219,905",2/10,4,44,"£37,793",12/41,17,229,"£161,670",3/25,4,46,"£20,442",,,,,,,,,,,,,,,,,1/3,1,12,"£4,300",1/1,2,21,"£9,358",1/1,2,15,"£10,701",0/1,0,12,"£10,307",3/25,3,42,"£34,691",5/33,7,82,"£56,098",3/13,3,32,"£27,095",10/34,11,113,"£93,390",1/6,1,14,"£7,179",0/1,0,1,£466
Casamento,87/206,198,2333,"£2,511,344",60/190,119,1352,"£1,685,147",43/169,79,981,"£826,197",15/67,26,294,"£264,997",1/2,1,5,"£8,765",11/54,15,235,"£213,398",6/24,10,54,"£42,835",0/1,0,4,"£1,268",28/134,37,446,"£408,181",9/43,11,147,"£143,388",24/83,38,544,"£456,800",47/186,81,1036,"£911,778",26/107,42,396,"£566,986",11/76,24,241,"£400,286",7/40,13,116,"£175,494",4/51,4,78,"£52,901",13/114,15,240,"£255,854",14/81,18,166,"£205,181",33/159,50,518,"£671,067",27/135,44,414,"£669,605",2/15,2,20,"£23,485"
Charm Spirit,70/124,152,1231,"£1,489,485",46/113,84,745,"£1,007,339",39/105,68,486,"£482,145",0/6,0,14,"£2,221",,,,,0/5,0,12,"£2,221",0/1,0,2,—,,,,,35/101,52,387,"£582,603",19/53,27,199,"£306,212",36/91,66,506,"£661,039",37/93,73,617,"£730,090",8/31,11,82,"£82,769",1/12,1,16,"£8,193",2/4,1,10,"£7,393",1/24,1,26,"£15,430",4/52,5,89,"£80,272",6/54,7,92,"£112,397",22/90,28,251,"£328,784",25/84,38,251,"£409,607",1/9,1,10,"£10,332"
Charming Thought,14/36,25,251,"£250,857",12/30,15,148,"£184,261",5/30,10,103,"£66,596",0/2,0,2,£890,,,,,0/2,0,2,£890,,,,,,,,,8/28,10,111,"£164,340",5/18,5,66,"£43,975",9/23,14,132,"£165,562",4/25,8,93,"£69,923",2/8,3,25,"£15,372",0/1,0,1,—,,,,,1/3,1,4,"£4,665",3/15,3,20,"£14,249",0/10,0,14,"£3,800",5/23,5,63,"£132,605",3/25,4,45,"£24,505",1/1,1,2,"£2,702"
Churchill,17/55,21,176,"£314,136",17/53,20,157,"£274,947",1/16,1,19,"£39,190",,,,,,,,,,,,,,,,,,,,,17/55,21,176,"£314,136",17/55,21,176,"£314,136",4/21,5,51,"£77,374",14/49,16,123,"£223,562",0/2,0,2,"£13,200",,,,,,,,,0/2,0,2,"£1,749",1/22,1,27,"£33,838",2/10,2,12,"£13,843",12/41,13,70,"£165,815",2/19,2,29,"£51,562",0/2,0,2,"£1,821"
Cityscape,40/97,99,1002,"£1,096,658",31/88,59,640,"£819,059",21/75,40,362,"£277,599",4/30,6,119,"£51,500",0/1,0,2,—,3/23,3,89,"£28,765",2/12,3,28,"£22,735",1/1,1,5,"£23,746",12/65,13,206,"£141,430",7/20,7,73,"£81,664",7/37,11,119,"£146,754",27/88,45,499,"£501,203",13/54,23,248,"£245,853",11/34,15,95,"£139,823",2/16,5,41,"£63,026",5/25,5,40,"£63,147",7/64,8,135,"£131,019",10/55,11,119,"£135,344",15/74,20,233,"£187,346",14/70,16,190,"£254,625",1/6,1,6,"£3,482"
Clerkenwell,0/2,0,13,£299,0/2,0,9,£299,0/1,0,4,—,7/53,21,393,"£167,197",3/20,5,124,"£53,095",6/36,16,203,"£111,057",0/35,0,66,"£3,046",2/6,3,40,"£7,843",0/1,0,3,—,,,,,0/2,0,2,—,0/2,0,7,£299,0/1,0,1,—,0/2,0,2,—,0/1,0,1,—,1/20,3,41,"£33,969",1/25,1,61,"£14,372",4/22,6,79,"£31,925",5/42,8,130,"£62,710",2/22,2,39,"£8,834",1/6,1,9,—
Clodovil,213/365,538,5369,"£6,713,840",161/352,354,3554,"£5,371,755",93/270,184,1815,"£1,342,085",9/46,33,341,"£301,992",2/5,5,36,"£48,764",9/43,26,293,"£246,470",2/7,2,12,"£6,757",43/125,97,990,"£1,192,103",111/288,153,1279,"£1,850,056",,,,,117/284,239,2314,"£2,729,237",122/310,251,2480,"£3,509,918",20/109,27,348,"£327,598",8/54,12,158,"£96,634",9/23,9,69,"£50,454",15/106,18,167,"£207,813",46/225,56,552,"£851,744",45/176,57,511,"£891,606",78/292,129,1272,"£1,997,164",68/270,98,1067,"£1,590,645",8/39,8,53,"£45,175"
Cloudings,11/39,23,388,"£120,144",10/37,21,311,"£110,185",2/24,2,77,"£9,959",121/295,399,3793,"£4,621,017",69/142,190,1442,"£3,230,666",91/251,185,1934,"£1,303,630",21/189,24,417,"£86,721",26/73,74,755,"£405,600",1/17,1,67,"£8,077",,,,,1/16,1,61,"£5,711",3/29,3,137,"£31,571",4/22,5,62,"£29,211",4/22,11,84,"£39,069",2/15,3,44,"£14,583",37/160,56,499,"£732,634",60/216,114,884,"£1,302,383",49/173,66,680,"£1,243,564",62/245,104,1191,"£975,415",28/135,51,494,"£309,169",2/21,2,32,"£15,905"
Coach House,39/117,108,1310,"£923,284",33/106,71,798,"£659,668",19/95,37,512,"£263,616",1/4,2,17,"£13,484",1/1,1,1,"£3,594",1/3,1,13,"£9,889",0/2,0,3,—,,,,,14/84,22,371,"£361,402",6/38,10,173,"£89,720",29/110,77,870,"£722,397",12/81,27,410,"£181,821",2/10,3,16,"£13,109",1/5,1,13,"£5,543",2/1,0,1,£414,3/20,3,30,"£115,634",10/51,16,112,"£102,224",10/57,11,121,"£86,957",14/87,17,267,"£176,692",17/83,22,241,"£159,320",4/12,4,28,"£33,356"
Cockney Rebel,53/119,111,1329,"£806,358",34/108,54,735,"£481,717",31/103,57,594,"£324,641",7/30,18,159,"£192,462",0/2,0,2,£350,7/27,15,130,"£182,122",2/10,3,27,"£9,990",9/28,27,327,"£269,081",25/78,32,303,"£238,035",10/23,13,107,"£67,719",16/79,28,364,"£221,274",33/106,55,644,"£388,731",11/50,14,181,"£84,991",7/31,9,106,"£65,422",2/13,5,34,"£45,939",2/18,3,25,"£16,122",11/59,13,121,"£89,965",9/67,14,154,"£181,337",17/91,18,311,"£184,022",14/84,18,238,"£170,488",2/18,2,26,"£15,985"
Conduit,1/1,1,16,"£8,795",1/1,1,10,"£6,020",0/1,0,6,"£2,775",0/10,0,21,"£4,974",,,,,0/5,0,13,"£2,483",0/6,0,8,"£2,491",,,,,0/1,0,2,"£1,145",,,,,0/1,0,2,"£1,145",0/1,0,3,"£1,128",0/1,0,7,"£2,425",1/1,1,3,"£3,798",0/1,0,1,£300,0/3,0,5,"£3,560",0/3,0,3,"£1,466",0/1,0,1,—,0/4,0,11,"£1,977",1/1,1,4,"£4,182",0/1,0,1,£300
